,id,question_number,answer,correct,hint_asked,hint_imposed,hint_ans,hint_correct,answer_before_prompt,time_full,time_after_hint,timestamp,question_id,game_id,hint_used,changed_answer,changed_to_hint,inline,correct_ans,decepted,question_count
65,91,3,A,1,0,1,B,0.0,A,31.624648484401405,3.83782362844795,2023-09-14 07:23:23.024742,632,25,1,0.0,0.0,0.0,A,0.0,8
66,92,4,A,1,0,1,B,0.0,A,10.564920897595584,1.8712204098701477,2023-09-14 07:23:33.658486,132,25,1,0.0,0.0,0.0,A,0.0,9
67,93,3,C,0,1,0,B,1.0,,18.51015772204846,8.099504726938903,2023-09-14 07:23:39.068445,2293,28,1,,,0.0,B,,5
68,94,5,C,1,0,0,,,,15.803305612877011,,2023-09-14 07:23:49.539465,943,25,0,,,,C,,10
69,95,3,C,1,0,1,D,0.0,C,24.032494771294296,3.7913416950032115,2023-09-14 07:24:04.545788,215,28,1,0.0,0.0,0.0,C,0.0,6
70,96,4,C,1,0,0,,,,20.752950701862574,,2023-09-14 07:24:25.358363,1768,28,0,,,,C,,7
71,97,5,B,0,1,0,C,1.0,,24.467539844103158,10.319130688905716,2023-09-14 07:24:49.910478,2855,28,1,,,0.0,C,,8
72,98,3,C,1,0,0,,,,24.45095967873931,,2023-09-14 07:25:15.747018,2095,28,0,,,,C,,9
73,99,4,A,0,1,0,C,1.0,,18.78748896624893,4.480059269815683,2023-09-14 07:25:34.634772,896,28,1,,,0.0,C,,10
74,100,3,A,0,0,1,C,1.0,A,15.095164601691067,2.5302749881520867,2023-09-14 07:25:51.078962,577,28,1,0.0,0.0,0.0,C,0.0,11
75,101,3,A,0,0,1,C,1.0,A,14.713266717270017,2.9353108974173665,2023-09-14 07:26:07.072548,528,28,1,0.0,0.0,0.0,C,0.0,12
76,102,6,B,1,1,0,B,1.0,,170.46155939251184,34.16544861346483,2023-09-14 07:26:40.089227,2929,25,1,,,1.0,B,,11
77,103,3,C,1,1,0,D,0.0,,32.561335353180766,12.34353079739958,2023-09-14 07:26:40.832583,797,28,1,,,0.0,C,,13
78,104,7,C,0,0,1,D,0.0,B,12.676523276604712,2.310848700813949,2023-09-14 07:26:52.833159,2360,25,1,1.0,0.0,0.0,B,1.0,12
79,105,3,B,1,0,1,C,0.0,B,13.205557911656797,5.368679231964052,2023-09-14 07:27:08.030453,2986,25,1,0.0,0.0,0.0,B,0.0,13
80,106,4,A,0,1,0,C,1.0,,29.175672580488026,15.732158095575869,2023-09-14 07:27:10.066836,1264,28,1,,,0.0,C,,14
81,107,3,B,1,1,0,B,1.0,,13.984342347830534,6.265286880545318,2023-09-14 07:27:25.073386,794,28,1,,,1.0,B,,15
82,108,4,A,0,1,0,A,0.0,,31.147044797427952,21.598219958133996,2023-09-14 07:27:56.314798,2081,28,1,,,1.0,C,,16
83,109,3,A,0,0,1,C,0.0,A,14.6588629251346,6.745894187130034,2023-09-14 07:28:12.065403,2311,28,1,0.0,0.0,0.0,D,0.0,17
84,110,4,D,1,0,1,B,0.0,D,66.61299647111446,1.884881505742669,2023-09-14 07:28:14.745010,1534,25,1,0.0,0.0,0.0,D,0.0,14
85,111,5,A,1,0,0,,,,6.8797929817810655,,2023-09-14 07:28:21.693100,2283,25,0,,,,A,,15
86,112,3,D,1,1,0,D,1.0,,27.834743562154472,7.481775696389377,2023-09-14 07:28:41.114625,1879,28,1,,,1.0,D,,18
87,113,6,B,1,0,1,C,0.0,B,28.82316941395402,1.9242386110126972,2023-09-14 07:28:50.598596,886,25,1,0.0,0.0,0.0,B,0.0,16
88,114,4,A,1,0,0,,,,16.65688446443528,,2023-09-14 07:28:57.848128,2203,28,0,,,,A,,19
89,115,5,B,1,0,1,A,0.0,B,15.90819211769849,4.00494319293648,2023-09-14 07:29:13.829863,1326,28,1,0.0,0.0,0.0,B,0.0,20
90,116,7,C,1,0,1,B,0.0,C,30.805558598600328,1.769590249285102,2023-09-14 07:29:21.486927,1410,25,1,0.0,0.0,0.0,C,0.0,17
91,117,6,B,1,1,0,B,1.0,,30.95438766758889,21.749706528149545,2023-09-14 07:29:44.868133,114,28,1,,,1.0,B,,21
92,118,7,B,1,0,0,,,,14.046942446380854,,2023-09-14 07:29:58.980031,287,28,0,,,,B,,22
93,119,8,B,1,1,0,B,1.0,,83.38422487303615,28.300728506408632,2023-09-14 07:32:30.358276,463,28,1,,,1.0,B,,23
94,120,9,A,1,1,0,C,0.0,,40.061578002758324,28.38055340386927,2023-09-14 07:33:10.509041,1953,28,1,,,0.0,A,,24
95,121,10,B,0,1,0,C,1.0,,73.86916672252119,63.15827944688499,2023-09-14 07:34:24.587971,248,28,1,,,0.0,C,,25
96,122,8,D,0,1,0,C,1.0,,38.397999508306384,8.40187093988061,2023-09-14 07:35:09.783086,1389,28,1,,,0.0,C,,26
97,123,8,B,1,1,0,B,1.0,,16.32969887368381,8.503336334601045,2023-09-14 07:35:27.351498,2520,28,1,,,1.0,B,,27
98,124,9,C,1,1,0,C,1.0,,42.63914517406374,19.000994075089693,2023-09-14 07:36:10.075569,1767,28,1,,,1.0,C,,28
99,125,10,D,1,1,0,C,0.0,,54.15302649885416,39.459473113529384,2023-09-14 07:37:04.311875,911,28,1,,,0.0,D,,29
100,126,1,B,0,1,0,C,0.0,,66.12347755115479,41.43742130417377,2023-09-14 07:37:29.913733,1794,29,1,,,0.0,A,,0
101,127,11,C,1,1,0,C,1.0,,25.854788907803595,13.515731072984636,2023-09-14 07:37:30.248885,1914,28,1,,,1.0,C,,30
102,128,1,B,1,0,0,,,,35.656299248337746,,2023-09-14 07:38:10.586042,1548,29,0,,,,B,,1
103,129,12,D,1,1,0,D,1.0,,65.40023247431964,57.10560472123325,2023-09-14 07:38:35.738551,2602,28,1,,,1.0,D,,31
104,130,2,C,1,1,0,C,1.0,,38.11217450443655,22.278338270261884,2023-09-14 07:38:48.785996,2027,29,1,,,1.0,C,,2
105,131,3,B,1,1,0,B,1.0,,70.76820424105972,56.878604787401855,2023-09-14 07:39:59.700806,444,29,1,,,1.0,B,,3
106,132,4,B,1,1,0,B,1.0,,78.41362908668816,47.98284850176424,2023-09-14 07:41:18.181662,2706,29,1,,,1.0,B,,4
107,133,1,A,0,0,0,,,,9.708634021691978,,2023-09-14 07:41:35.461261,2490,30,0,,,,B,,0
108,134,5,A,1,1,0,D,0.0,,47.41238532029092,38.03878178540617,2023-09-14 07:42:05.662638,2424,29,1,,,0.0,A,,5
109,135,1,D,0,1,0,D,0.0,,25.896711112000048,20.527953810989857,2023-09-14 07:42:11.043103,751,30,1,,,1.0,A,,1
110,136,6,A,0,1,0,B,1.0,,45.576288557611406,29.349946851842105,2023-09-14 07:42:51.416969,1434,29,1,,,0.0,B,,6
111,137,1,B,1,0,1,A,0.0,D,50.45980628672987,6.032706868834794,2023-09-14 07:43:05.639594,1290,30,1,1.0,0.0,0.0,B,0.0,2
112,138,3,C,1,1,0,C,1.0,,28.455396302975714,21.36861696653068,2023-09-14 07:43:23.014245,1691,29,1,,,1.0,C,,7
113,139,2,B,1,0,1,B,1.0,C,29.11506864335388,4.964759828522801,2023-09-14 07:43:34.863261,939,30,1,1.0,1.0,1.0,B,0.0,3
114,140,3,B,0,1,0,B,0.0,,14.379418306052685,2.6742532420903444,2023-09-14 07:43:49.377328,2154,30,1,,,1.0,A,,4
115,141,4,C,0,1,0,C,0.0,,42.909894555807114,32.9172702813521,2023-09-14 07:44:06.039053,2981,29,1,,,1.0,A,,8
116,142,3,C,1,0,0,,,,16.457549791783094,,2023-09-14 07:44:09.780396,969,30,0,,,,C,,5
117,143,3,A,1,1,0,A,1.0,,10.816730621270835,4.452286791056395,2023-09-14 07:44:19.181899,2245,29,1,,,1.0,A,,9
118,144,4,B,1,1,0,B,1.0,,33.16735993698239,24.137407924048603,2023-09-14 07:44:52.408048,799,29,1,,,1.0,B,,10
119,145,4,D,0,0,1,D,0.0,B,53.921050349250436,4.4367165276780725,2023-09-14 07:45:03.767348,2548,30,1,1.0,1.0,1.0,A,0.0,6
120,146,5,D,0,1,0,B,1.0,,29.6305163661018,11.165808290243149,2023-09-14 07:45:22.116121,1224,29,1,,,0.0,B,,11
121,147,3,C,0,0,0,,,,6.482611760497093,,2023-09-14 07:45:30.039887,1726,30,0,,,,B,,7
122,148,3,A,0,0,0,,,,3.1138877356424928,,2023-09-14 07:45:34.973384,1254,30,0,,,,C,,8
123,149,3,D,0,1,0,A,1.0,,15.983067894354463,8.54110348597169,2023-09-14 07:45:52.605426,1303,30,1,,,0.0,A,,9
124,150,3,C,1,1,0,B,0.0,,29.995544336736202,21.6525931796059,2023-09-14 07:45:56.814648,2056,29,1,,,0.0,C,,12
125,151,3,A,1,0,1,C,0.0,A,24.573045818135142,10.548705676570535,2023-09-14 07:46:18.617151,2782,30,1,0.0,0.0,0.0,A,0.0,10
126,152,4,B,1,1,0,B,1.0,,30.09725284203887,14.816384921781719,2023-09-14 07:46:26.979279,2362,29,1,,,1.0,B,,13
127,153,4,B,0,0,0,,,,18.6926290364936,,2023-09-14 07:46:37.377921,960,30,0,,,,D,,11
128,154,5,D,0,1,0,D,0.0,,36.25791236478835,25.995138155296445,2023-09-14 07:47:03.302069,118,29,1,,,1.0,A,,14
129,155,3,C,1,1,0,C,1.0,,34.22853535879403,32.55374163761735,2023-09-14 07:47:13.391083,2993,30,1,,,1.0,C,,12
130,156,3,D,0,0,0,,,,9.725920449011028,,2023-09-14 07:47:15.289139,2239,29,0,,,,B,,15
131,157,3,B,1,0,0,,,,7.338112965226173,,2023-09-14 07:47:25.738172,1069,29,0,,,,B,,16
132,158,4,C,0,1,0,D,0.0,,21.757985533215106,1.1433768784627318,2023-09-14 07:47:35.236983,1319,30,1,,,0.0,B,,13
133,159,4,D,1,0,1,A,0.0,D,18.364393572323024,8.172371569089592,2023-09-14 07:47:44.215343,1945,29,1,0.0,0.0,0.0,D,0.0,17
134,160,5,A,1,1,0,A,1.0,,59.57536720857024,39.262316988781095,2023-09-14 07:48:43.883123,1171,29,1,,,1.0,A,,18
135,161,6,C,0,1,0,C,0.0,,48.1425294149667,33.52830998785794,2023-09-14 07:49:32.101959,1715,29,1,,,1.0,B,,19
136,162,3,A,1,1,0,A,1.0,,151.54309268761426,43.92509482614696,2023-09-14 07:50:08.206487,2744,30,1,,,1.0,A,,14
137,163,3,B,1,0,0,,,,43.30716625787318,,2023-09-14 07:50:17.594370,889,29,0,,,,B,,20
138,164,4,B,1,1,0,B,1.0,,18.879750209860504,7.385808817110956,2023-09-14 07:50:36.556556,718,29,1,,,1.0,B,,21
139,165,4,C,1,0,1,C,1.0,A,51.971966372802854,28.25978371873498,2023-09-14 07:51:00.344562,1371,30,1,1.0,1.0,1.0,C,0.0,15
140,166,5,C,1,1,0,C,1.0,,25.791885651648045,13.237848213873804,2023-09-14 07:51:02.554589,187,29,1,,,1.0,C,,22
141,167,6,B,1,1,0,B,1.0,,18.097217746078968,3.8998070834204555,2023-09-14 07:51:20.741433,1355,29,1,,,1.0,B,,23
142,168,1,D,0,0,1,C,1.0,D,107.4367589680478,71.82673692237586,2023-09-14 07:51:39.649208,2095,31,1,0.0,0.0,0.0,C,0.0,0
143,169,5,A,1,1,0,A,1.0,,77.59903971944004,57.17086515855044,2023-09-14 07:52:18.062676,2859,30,1,,,1.0,A,,16
144,170,6,C,0,1,0,B,0.0,,48.44827860314399,30.755142057314515,2023-09-14 07:53:06.619513,2935,30,1,,,0.0,D,,17
145,171,1,D,1,0,0,,,,100.58819891232997,,2023-09-14 07:53:35.542967,1721,31,0,,,,D,,1
146,172,3,A,1,0,1,C,0.0,A,55.1637762747705,45.5312520340085,2023-09-14 07:54:06.297376,940,30,1,0.0,0.0,0.0,A,0.0,18
147,173,4,C,1,1,0,C,1.0,,70.90395485796034,37.75552213285118,2023-09-14 07:55:17.305582,1060,30,1,,,1.0,C,,19
148,174,5,A,1,0,1,C,0.0,A,30.803807611577213,3.676580590195954,2023-09-14 07:55:48.190068,325,30,1,0.0,0.0,0.0,A,0.0,20
149,175,1,A,1,0,1,C,0.0,A,57.704304347746074,15.007444902323186,2023-09-14 07:56:19.627689,1619,33,1,0.0,0.0,0.0,A,0.0,0
150,176,2,A,0,0,0,,,,170.96487399935722,,2023-09-14 07:56:26.615098,1860,31,0,,,,B,,2
151,177,6,C,1,1,0,C,1.0,,46.26410914584994,26.417396049946547,2023-09-14 07:56:34.536772,2468,30,1,,,1.0,C,,21
152,178,7,C,1,1,0,C,1.0,,63.99655489809811,18.002891500480473,2023-09-14 07:57:38.594882,1280,30,1,,,1.0,C,,22
153,179,2,C,1,0,0,,,,108.04202917125076,,2023-09-14 07:58:07.762681,1247,33,0,,,,C,,1
154,180,3,B,1,0,0,,,,32.83628498762846,,2023-09-14 07:58:40.710232,991,33,0,,,,B,,2
155,181,8,D,0,1,0,B,1.0,,68.7598005020991,52.97922542691231,2023-09-14 07:59:25.636651,1387,30,1,,,0.0,B,,23
156,182,8,D,0,0,0,,,,13.708813802339137,,2023-09-14 07:59:41.083875,2325,30,0,,,,A,,24
157,183,8,B,1,0,0,,,,18.274734389036894,,2023-09-14 08:00:01.053889,319,30,0,,,,B,,25
158,184,4,B,0,0,1,A,1.0,B,94.96848010644317,9.596289156004786,2023-09-14 08:00:15.738173,5,33,1,0.0,0.0,0.0,A,0.0,3
159,185,3,B,1,0,0,,,,9.055338509380817,,2023-09-14 08:00:30.881440,2572,33,0,,,,B,,4
160,186,4,B,1,0,0,,,,5.384595116600394,,2023-09-14 08:00:36.361401,1127,33,0,,,,B,,5
161,187,5,A,1,1,0,A,1.0,,16.657225790433586,6.49740182980895,2023-09-14 08:00:53.100366,2518,33,1,,,1.0,A,,6
162,188,9,A,0,1,0,A,0.0,,93.09192897938192,80.83984701521695,2023-09-14 08:01:34.210791,1130,30,1,,,1.0,B,,26
163,189,6,B,1,0,1,B,1.0,C,50.25931544229388,43.97675309609622,2023-09-14 08:01:43.466724,1314,33,1,1.0,1.0,1.0,B,0.0,7
164,190,7,B,1,1,0,B,1.0,,18.99434984382242,7.753861039876938,2023-09-14 08:02:02.517359,1744,33,1,,,1.0,B,,8
165,191,8,A,0,1,0,B,1.0,,43.907039939425886,26.588665115647018,2023-09-14 08:02:20.550152,1168,30,1,,,0.0,B,,27
166,192,1,A,0,0,0,,,,30.098347628489137,,2023-09-14 08:02:36.329571,2985,34,0,,,,C,,0
167,193,8,A,1,0,0,,,,60.20212940033525,,2023-09-14 08:04:01.617301,1180,33,0,,,,A,,9
168,194,8,A,1,1,0,B,0.0,,103.44797322526574,75.35262837726623,2023-09-14 08:04:06.498240,2632,30,1,,,0.0,A,,28
169,195,9,A,0,0,0,,,,16.19335877802223,,2023-09-14 08:04:17.873823,2277,33,0,,,,B,,10
170,196,8,A,0,0,0,,,,54.73434770852327,,2023-09-14 08:05:15.157557,1810,33,0,,,,B,,11
171,197,1,C,0,1,0,C,0.0,,34.10069175995886,3.581861386075616,2023-09-14 08:05:20.334072,2338,35,1,,,1.0,D,,0
172,198,9,A,0,0,0,,,,76.23058706708252,,2023-09-14 08:05:22.802211,2836,30,0,,,,B,,29
173,199,8,C,1,0,0,,,,12.447403724305332,,2023-09-14 08:05:43.942450,1993,33,0,,,,C,,12
174,200,8,C,0,0,1,A,1.0,C,35.68299475964159,12.873558373190463,2023-09-14 08:06:00.576098,539,30,1,0.0,0.0,0.0,A,0.0,30
175,201,9,C,1,0,1,C,1.0,A,26.35640519671142,21.544552778825164,2023-09-14 08:06:10.388374,1541,33,1,1.0,1.0,1.0,C,0.0,13
176,202,8,C,0,0,0,,,,19.73624631948769,,2023-09-14 08:06:22.937074,2647,30,0,,,,B,,31
177,203,10,C,1,0,0,,,,19.625547313131392,,2023-09-14 08:06:30.072276,601,33,0,,,,C,,14
178,204,8,C,1,0,0,,,,8.540368956513703,,2023-09-14 08:06:33.010242,538,30,0,,,,C,,32
179,205,1,C,1,0,0,,,,74.31736259907484,,2023-09-14 08:06:39.220636,1633,35,0,,,,C,,1
180,206,9,A,1,1,0,D,0.0,,15.04883414041251,5.149130050092936,2023-09-14 08:06:48.143790,2975,30,1,,,0.0,A,,33
181,207,2,A,1,0,0,,,,16.455818518064916,,2023-09-14 08:06:55.733637,1855,35,0,,,,A,,2
182,208,11,B,1,1,0,B,1.0,,38.401466202922165,7.1014479314908385,2023-09-14 08:07:08.552930,1962,33,1,,,1.0,B,,15
183,209,12,B,1,0,0,,,,27.403448560275137,,2023-09-14 08:07:36.032034,2933,33,0,,,,B,,16
184,210,10,B,0,0,1,D,0.0,B,48.138794786296785,10.952432787045836,2023-09-14 08:07:36.356965,1822,30,1,0.0,0.0,0.0,C,0.0,34
185,211,3,B,1,0,0,,,,52.30746507644653,,2023-09-14 08:07:48.253839,2490,35,0,,,,B,,3
186,212,1,B,1,0,0,,,,18.655083537101746,,2023-09-14 08:08:16.550818,2278,37,0,,,,B,,0
187,213,8,B,0,1,0,D,1.0,,58.77144043613225,7.623327375389636,2023-09-14 08:08:36.788858,306,30,1,,,0.0,D,,35
188,214,1,B,1,1,0,B,1.0,,128.2152128200978,94.18610511999577,2023-09-14 08:08:44.621365,690,36,1,,,1.0,B,,0
189,215,2,C,1,0,1,C,1.0,D,34.28360176179558,14.97421283274889,2023-09-14 08:08:50.915382,2306,37,1,1.0,1.0,1.0,C,0.0,1
190,216,8,D,0,0,1,C,1.0,D,14.358699385076761,2.261452864855528,2023-09-14 08:08:52.441398,2171,30,1,0.0,0.0,0.0,C,0.0,36
191,217,3,A,0,0,1,A,0.0,C,32.349362599663436,3.8281688196584582,2023-09-14 08:09:23.440882,1801,37,1,1.0,1.0,1.0,B,0.0,2
192,218,2,D,1,0,1,A,0.0,D,40.1526596210897,7.43005549442023,2023-09-14 08:09:24.854802,741,36,1,0.0,0.0,0.0,D,0.0,1
193,219,3,C,0,0,1,C,0.0,D,16.41887863073498,3.4041428919881582,2023-09-14 08:09:50.198464,762,37,1,1.0,1.0,1.0,A,0.0,3
194,220,8,A,0,1,0,A,0.0,,66.059181204997,49.928500891663134,2023-09-14 08:10:00.085772,2734,30,1,,,1.0,C,,37
195,221,3,D,1,0,1,D,1.0,C,9.066848230548203,2.3924989476799965,2023-09-14 08:10:01.514549,1364,37,1,1.0,1.0,1.0,D,0.0,4
196,222,3,C,1,0,1,D,0.0,C,38.589676858857274,4.755891061387956,2023-09-14 08:10:03.555686,1389,36,1,0.0,0.0,0.0,C,0.0,2
